r_m,Phi,clock_dnu_over_nu,interferometer_phase_proxy,cavity_df_over_f,gravimeter_dg_proxy
0.0,1e-14,1e-14,5.999999375404093e-23,5e-15,0.0
0.01,9.9999999e-15,9.9999999e-15,-1.999999987018143e-23,4.99999995e-15,3.999999960000001e-20
0.02,9.999998400000128e-15,9.999998400000128e-15,-4.199998359170451e-22,4.999999200000064e-15,3.1999994880000415e-19
0.03,9.99999190000328e-15,9.99999190000328e-15,-1.6199982038570162e-21,4.99999595000164e-15,1.079999125200354e-18
0.04,9.999974400032769e-15,9.999974400032769e-15,-4.339988602336864e-21,4.9999872000163846e-15,2.5599934464083892e-18
0.05,9.999937500195311e-15,9.999937500195311e-15,-9.539948250597368e-21,4.9999687500976556e-15,4.999968750097657e-18
0.06,9.999870400839804e-15,9.999870400839804e-15,-1.8419813897378392e-20,4.999935200419902e-15,8.639888026325588e-18
0.07,9.999759902882377e-15,9.999759902882377e-15,-3.2419436462805234e-20,4.9998799514411884e-15,1.3719670586754624e-17
0.08,9.999590408388494e-15,9.999590408388494e-15,-5.3218504437142204e-20,4.999795204194247e-15,2.0479161156379638e-17
0.09,9.99934392152289e-15,9.99934392152289e-15,-8.273642394515737e-20,4.999671960761445e-15,2.9158086875160744e-17
0.1,9.999000049998334e-15,9.999000049998334e-15,-1.2313214137909108e-19,4.999500024999167e-15,3.9996000199993344e-17
0.11,9.99853600717421e-15,9.99853600717421e-15,-1.7680389249635836e-19,4.999268003587105e-15,5.3232205702195495e-17
0.12,9.997926614975989e-15,9.997926614975989e-15,-2.4638885988024053e-19,4.9989633074879944e-15,6.910566876271403e-17
0.13,9.997144307826533e-15,9.997144307826533e-15,-3.347627186773748e-19,4.998572153913267e-15,8.785490417717959e-17
0.14,9.996159137800047e-15,9.996159137800047e-15,-4.450390485492808e-19,4.998079568900024e-15,1.0971784269649335e-16
0.15,9.994938781229095e-15,9.994938781229095e-15,-5.805685878217178e-19,4.9974693906145475e-15,1.3493167354659276e-16
0.16,9.9934485470146e-15,9.9934485470146e-15,-7.44938303882107e-19,4.9967242735073e-15,1.6373266099428723e-16
0.17,9.991651386907886e-15,9.991651386907886e-15,-9.419702519750274e-19,4.995825693453943e-15,1.963559330555138e-16
0.18,9.989507908052741e-15,9.989507908052741e-15,-1.1757201926761477e-18,4.994753954026371e-15,2.3303524047905433e-16
0.19,9.986976388093863e-15,9.986976388093863e-15,-1.45047593651005e-18,4.9934881940469315e-15,2.7400268418374326e-16
0.2,9.984012793176063e-15,9.984012793176063e-15,-1.770755382406923e-18,4.992006396588032e-15,3.194884093816341e-16
0.21,9.980570799175926e-15,9.980570799175926e-15,-2.1413042149948098e-18,4.990285399587963e-15,3.6972026468467294e-16
0.22,9.976601816524306e-15,9.976601816524306e-15,-2.5670932241009394e-18,4.988300908262153e-15,4.249234245694032e-16
0.23,9.972055018993805e-15,9.972055018993805e-15,-3.0533152083014736e-18,4.986027509496902e-15,4.853199736643905e-16
0.24,9.966877376840295e-15,9.966877376840295e-15,-3.605381422933034e-18,4.983438688420147e-15,5.511284514297608e-16
0.25,9.961013694701175e-15,9.961013694701175e-15,-4.228917531669541e-18,4.980506847350588e-15,6.225633559188235e-16
0.26,9.954406654665565e-15,9.954406654665565e-15,-4.9297590196021556e-18,4.977203327332782e-15,6.99834605449608e-16
0.27,9.946996864942522e-15,9.946996864942522e-15,-5.713946024744299e-18,4.973498432471261e-15,7.831469571706548e-16
0.28,9.938722914562722e-15,9.938722914562722e-15,-6.58771754405061e-18,4.969361457281361e-15,8.726993816819237e-16
0.29,9.929521434556395e-15,9.929521434556395e-15,-7.557504969401117e-18,4.964760717278198e-15,9.686843930695834e-16
0.3,9.919327166055711e-15,9.919327166055711e-15,-8.629924908583206e-18,4.9596635830278556e-15,1.0712873339340166e-15
0.31,9.908073035772753e-15,9.908073035772753e-15,-9.811771246134171e-18,4.954036517886377e-15,1.1806856152348242e-15
