t_s,modulation_m_t,Phi,clock_dnu_over_nu,cavity_df_over_f,gravimeter_dg_proxy
0.0,0.0,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
0.5,0.3090169943749474,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
1.0,0.5877852522924731,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
1.5,0.8090169943749475,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
2.0,0.9510565162951535,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
2.5,1.0,3.752370299948712e-15,3.752370299948712e-15,1.876185149974356e-15,1.4715177646857694e-14
3.0,0.9510565162951536,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
3.5,0.8090169943749475,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
4.0,0.5877852522924732,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
4.5,0.3090169943749475,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
5.0,1.2246467991473532e-16,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
5.5,-0.3090169943749473,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
6.0,-0.587785252292473,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
6.5,-0.8090169943749473,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
7.0,-0.9510565162951535,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
7.5,-1.0,3.605218523480135e-15,3.605218523480135e-15,1.8026092617400675e-15,1.4715177646857694e-14
8.0,-0.9510565162951536,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
8.5,-0.8090169943749476,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
9.0,-0.5877852522924734,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
9.5,-0.3090169943749476,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
10.0,-2.4492935982947064e-16,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
10.5,0.3090169943749472,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
11.0,0.5877852522924729,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
11.5,0.8090169943749472,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
12.0,0.9510565162951535,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
12.5,1.0,3.752370299948712e-15,3.752370299948712e-15,1.876185149974356e-15,1.4715177646857694e-14
13.0,0.9510565162951536,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
13.5,0.8090169943749477,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
14.0,0.5877852522924734,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
14.5,0.3090169943749478,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
15.0,3.6739403974420594e-16,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
15.5,-0.30901699437494706,3.656058211873797e-15,3.656058211873797e-15,1.8280291059368986e-15,1.4715177646857694e-14
16.0,-0.5877852522924728,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
16.5,-0.8090169943749472,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
17.0,-0.9510565162951534,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
17.5,-1.0,3.605218523480135e-15,3.605218523480135e-15,1.8026092617400675e-15,1.4715177646857694e-14
18.0,-0.9510565162951538,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
18.5,-0.8090169943749477,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
19.0,-0.5877852522924735,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
19.5,-0.3090169943749479,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
20.0,-4.898587196589413e-16,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
20.5,0.30901699437494695,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
21.0,0.5877852522924727,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
21.5,0.8090169943749471,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
22.0,0.9510565162951534,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
